"","value","Class","N","N_cumulative","cumulative_pct","Group"
"121",0.58054447719785,"4729Z",3003,1867757,0.866051510802709,"Catégories représentant 20% des données"
"122",0.758572671888599,"7490A",2993,1870750,0.867439320979211,"Catégories représentant 20% des données"
"123",0.483303411131059,"4120B",2948,1873698,0.868806265316106,"Catégories représentant 20% des données"
"124",0.87379949452401,"0161Z",2945,1876643,0.870171818597027,"Catégories représentant 20% des données"
"125",0.922234004948745,"0150Z",2874,1879517,0.871504450219903,"Catégories représentant 20% des données"
"126",0.947109471094711,"8553Z",2831,1882348,0.872817143373821,"Catégories représentant 20% des données"
"127",0.82655921513665,"3832Z",2824,1885172,0.874126590730467,"Catégories représentant 20% des données"
"128",0.786818851251841,"7120B",2739,1887911,0.875396624834522,"Catégories représentant 20% des données"
"129",0.716321009918846,"4673A",2731,1890642,0.876662949455981,"Catégories représentant 20% des données"
"130",0.851617995264404,"7990Z",2638,1893280,0.877886151342253,"Catégories représentant 20% des données"
"131",0.507375949932946,"6430Z",2633,1895913,0.879107034801902,"Catégories représentant 20% des données"
"132",0.928092042186002,"4391A",2619,1898532,0.880321426667007,"Catégories représentant 20% des données"
"133",0.857197185776764,"5920Z",2615,1901147,0.881533963790813,"Catégories représentant 20% des données"
"134",0.946319018404908,"4711D",2605,1903752,0.882741864061373,"Catégories représentant 20% des données"
"135",0.978425655976676,"0142Z",2576,1906328,0.883936317457521,"Catégories représentant 20% des données"
"136",0.717792655711098,"4741Z",2522,1908850,0.88510573184614,"Catégories représentant 20% des données"
"137",0.758042503411971,"4759A",2508,1911358,0.886268654640215,"Catégories représentant 20% des données"
"138",0.876845298281092,"4722Z",2497,1913855,0.88742647689572,"Catégories représentant 20% des données"
"139",0.642408490361707,"6312Z",2468,1916323,0.888570852276811,"Catégories représentant 20% des données"
"140",0.747980948436529,"1392Z",2459,1918782,0.889711054489981,"Catégories représentant 20% des données"
"141",0.691072575465639,"1419Z",2418,1921200,0.890832245604843,"Catégories représentant 20% des données"
"142",0.77821495133568,"4634Z",2398,1923598,0.891944163013213,"Catégories représentant 20% des données"
"143",0.592946058091286,"4759B",2379,1925977,0.893047270400415,"Catégories représentant 20% des données"
"144",0.880797572605115,"5811Z",2347,1928324,0.894135539857231,"Catégories représentant 20% des données"
"145",0.560587515299878,"4642Z",2328,1930652,0.89521499929288,"Catégories représentant 20% des données"
"146",0.743787847149718,"4764Z",2315,1932967,0.896288430819309,"Catégories représentant 20% des données"
"147",0.848565121412804,"4329A",2248,1935215,0.89733079542899,"Catégories représentant 20% des données"
"148",0.693511156706848,"6832B",2245,1937460,0.898371768982698,"Catégories représentant 20% des données"
"149",0.795438996579248,"1629Z",2216,1939676,0.899399295661992,"Catégories représentant 20% des données"
"150",0.884473197781885,"6202B",2213,1941889,0.900425431285312,"Catégories représentant 20% des données"
"151",0.97702979304071,"7500Z",2198,1944087,0.901444611628764,"Catégories représentant 20% des données"
"152",0.934615384615385,"6419Z",2144,1946231,0.902438752964688,"Catégories représentant 20% des données"
"153",0.711880711880712,"3312Z",2142,1948373,0.903431966929963,"Catégories représentant 20% des données"
"154",0.546840958605664,"4110A",2085,1950458,0.904398750831736,"Catégories représentant 20% des données"
